Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2022-01-05,325.8600,326.0700,315.9800,316.3800,307.7700,40054327
MSFT,2022-01-04,334.8300,335.2000,326.1200,329.0100,320.0500,32674306
MSFT,2022-01-03,335.3500,338.0000,329.7800,334.7500,325.6300,28918013
MSFT,2021-12-31,338.5100,339.3600,335.8500,336.3200,327.1600,18000800
MSFT,2021-12-30,341.9100,343.1300,338.8200,339.3200,330.0800,15994500
MSFT,2021-12-29,341.3000,344.3000,339.6800,341.9500,332.6400,15042000
MSFT,2021-12-28,343.1500,343.8100,340.3200,341.2500,331.9600,15661500
MSFT,2021-12-27,335.4600,342.4800,335.4300,342.4500,333.1300,19947029
MSFT,2021-12-23,332.7500,336.3900,332.7300,334.6900,325.5800,19617848
MSFT,2021-12-22,328.3000,333.6100,325.7500,333.2000,324.1300,24831500
MSFT,2021-12-21,323.2900,327.7300,319.8000,327.2900,318.3800,24740600
MSFT,2021-12-20,320.0500,322.8000,317.5700,319.9100,311.2000,28326532
MSFT,2021-12-17,320.8800,324.9200,317.2500,323.8000,314.9800,47983713
MSFT,2021-12-16,335.7100,336.7600,323.0200,324.9000,316.0500,35034831
MSFT,2021-12-15,328.6100,335.1900,324.5000,334.6500,325.5400,35381122
MSFT,2021-12-14,333.2200,334.6400,324.1100,328.3400,319.4000,44438700
MSFT,2021-12-13,340.6800,343.7900,339.0800,339.4000,330.1600,28899431
MSFT,2021-12-10,334.9800,343.0000,334.7900,342.5400,333.2100,38095700
MSFT,2021-12-09,334.4100,336.4900,332.1200,333.1000,324.0300,22214200
MSFT,2021-12-08,335.3100,335.5000,330.8000,334.9700,325.8500,24761000
MSFT,2021-12-07,331.6400,335.8000,330.1000,334.9200,325.8000,31021936
MSFT,2021-12-06,323.9500,327.4500,319.2300,326.1900,317.3100,30032600
MSFT,2021-12-03,331.9900,332.7000,318.0300,323.0100,314.2100,41779300
MSFT,2021-12-02,330.3000,333.4900,327.8000,329.4900,320.5200,30766000
MSFT,2021-12-01,335.1300,339.2800,329.3900,330.0800,321.0900,33401146
MSFT,2021-11-30,335.3200,337.7800,328.9900,330.5900,321.5900,42885609
MSFT,2021-11-29,334.9400,339.0300,334.7400,336.6300,327.4600,28563500
MSFT,2021-11-26,334.3500,337.9300,328.1200,329.6800,320.7000,24217242
MSFT,2021-11-24,336.2800,338.1600,333.9100,337.9100,328.7100,21661307
MSFT,2021-11-23,337.0500,339.4500,333.5600,337.6800,328.4900,30427600
MSFT,2021-11-22,344.6200,349.6700,339.5500,339.8300,330.5800,31031113
MSFT,2021-11-19,342.6400,345.1000,342.2000,343.1100,333.7700,21963403
MSFT,2021-11-18,338.1800,342.4500,337.1200,341.2700,331.9800,22463533
MSFT,2021-11-17,338.9400,342.1900,338.0000,339.1200,329.8900,19053400
MSFT,2021-11-16,335.6800,340.6700,335.5100,339.5100,329.6600,20886832
MSFT,2021-11-15,337.5400,337.8800,334.0300,336.0700,326.3200,16723009
